CreditScore,Geography,Age,Balance,NumOfProducts,IsActiveMember,Exited
804,France,50,0.0,1,1,Yes
514,France,32,0.0,2,0,No
730,France,39,99010.67,1,0,No
525,Spain,37,0.0,1,1,No
616,Spain,30,0.0,2,1,No
687,Germany,34,111388.18,2,0,No
715,France,41,56214.85,2,0,Yes
512,France,36,84327.77,2,0,No
479,France,40,0.0,2,0,No
601,France,32,93012.89,1,0,No
580,Spain,29,61710.44,2,0,No
807,France,35,174790.15,1,1,No
616,Spain,32,0.0,2,1,No
721,Germany,37,107720.64,1,1,No
501,France,57,0.0,2,1,No
521,France,35,96423.84,1,0,No
850,Spain,30,141040.01,1,1,No
759,France,42,105420.18,1,1,No
516,Spain,50,0.0,1,1,Yes
711,France,38,129022.06,2,1,Yes
512,Spain,33,176666.62,1,0,No
550,France,37,0.0,1,1,No
608,Spain,41,89763.84,1,0,Yes
618,France,34,134954.53,1,1,No
643,France,45,0.0,1,0,Yes
671,France,45,106376.85,1,1,No
689,Germany,33,161814.64,2,0,No
603,France,31,0.0,2,1,No
620,France,41,0.0,2,0,No
676,France,34,63095.01,1,1,No
572,Germany,26,118287.01,2,0,No
668,Germany,47,106854.21,1,1,Yes
695,France,46,49512.55,1,0,No
730,Spain,33,0.0,2,0,No
807,France,43,105799.32,2,0,Yes
592,France,54,0.0,1,1,Yes
726,France,31,114722.05,2,1,No
514,Spain,30,0.0,1,1,No
567,France,42,0.0,2,1,No
850,France,33,0.0,1,0,Yes
671,Germany,45,99564.22,1,1,Yes
670,France,37,170557.91,2,0,No
694,France,30,0.0,2,1,No
547,Germany,39,74596.15,3,1,Yes
751,Germany,50,96888.39,1,0,Yes
594,Germany,29,130830.22,1,0,No
673,France,72,0.0,2,1,No
610,France,40,0.0,2,0,No
512,France,37,0.0,2,1,No
767,Germany,20,119714.25,2,1,No
585,France,67,113978.97,2,1,No
763,Germany,42,100160.75,1,0,Yes
712,France,29,0.0,1,1,No
539,Germany,43,116220.5,3,0,Yes
668,France,46,0.0,3,0,Yes
703,France,28,81173.83,2,1,No
662,Spain,38,0.0,2,0,No
725,Germany,39,116803.8,1,0,No
703,France,37,105961.68,2,1,No
659,Germany,67,117411.6,1,1,Yes
523,Spain,34,0.0,2,0,No
635,France,40,123497.58,1,0,Yes
772,Germany,26,152400.51,2,0,No
545,France,26,0.0,2,1,No
634,Germany,24,103097.85,1,1,No
739,Germany,54,126418.14,1,0,Yes
771,Germany,36,77846.9,1,0,No
587,Spain,34,0.0,2,1,No
681,France,79,0.0,2,1,No
544,Germany,37,79731.91,1,1,No
696,Spain,28,0.0,1,0,No
766,Spain,41,0.0,2,1,No
727,France,34,0.0,2,1,No
671,Germany,34,37266.67,2,0,No
693,France,30,127992.25,1,1,No
850,Germany,38,54901.01,1,1,No
732,Germany,42,108748.08,2,1,No
726,Spain,48,99906.19,1,0,No
557,France,32,184686.41,2,0,No
682,France,26,110654.02,1,1,No
738,Spain,31,79019.8,1,1,No
531,Spain,36,99240.51,1,0,No
498,France,34,0.0,2,1,No
651,France,36,0.0,2,0,No
549,Spain,39,0.0,1,0,Yes
791,Germany,35,52436.2,1,0,No
650,Spain,41,0.0,2,1,No
733,Germany,34,100337.96,3,0,Yes
811,Germany,34,149297.19,2,1,No
707,France,30,0.0,2,0,No
712,Germany,28,145605.44,1,1,No
706,Spain,37,0.0,2,1,No
756,France,62,0.0,1,1,Yes
777,France,53,0.0,2,0,No
646,France,35,84026.86,1,1,No
714,France,46,0.0,1,0,Yes
782,France,39,0.0,2,1,No
775,Spain,29,0.0,2,1,No
479,Germany,35,138718.92,1,1,Yes
807,France,42,118274.71,1,1,No
799,France,22,174185.98,2,1,No
675,France,40,113208.86,2,0,No
602,Spain,29,103907.28,1,0,No
475,France,32,119023.28,1,0,No
744,Spain,26,166297.89,1,1,No
588,Spain,34,0.0,2,0,No
703,Germany,42,63227.0,1,1,No
747,Spain,41,94521.17,2,0,No
583,France,27,0.0,2,0,No
750,Spain,34,112822.26,1,0,Yes
681,France,38,0.0,2,1,No
773,France,25,135903.33,1,0,No
714,France,31,125169.26,1,1,No
687,Spain,44,0.0,3,0,Yes
511,France,58,149117.31,1,1,No
627,France,33,0.0,2,1,No
694,France,31,0.0,2,0,No
616,Spain,36,132311.71,1,0,No
687,France,35,0.0,2,0,No
712,France,33,0.0,2,1,No
553,France,33,118082.89,1,0,No
667,France,31,119266.69,1,1,No
731,France,43,0.0,1,1,Yes
629,Germany,35,156847.29,2,0,No
614,France,50,137104.47,1,0,Yes
438,Germany,31,78398.69,1,0,No
652,France,80,0.0,2,1,No
729,Germany,30,63669.42,1,0,No
642,France,38,0.0,2,0,No
806,Germany,59,135296.33,1,0,No
744,Spain,36,153804.44,1,1,No
474,Spain,37,0.0,2,0,No
559,France,49,147069.78,1,0,Yes
706,Spain,42,0.0,2,1,No
628,Spain,22,0.0,1,0,No
429,France,24,95741.75,1,0,No
525,Spain,57,145965.33,1,1,No
680,France,30,141441.75,1,1,No
749,France,40,139290.41,1,0,Yes
763,France,31,0.0,2,0,No
734,France,30,0.0,2,0,No
716,France,35,144428.87,1,0,No
594,France,35,0.0,2,0,No
644,France,46,95441.27,1,0,Yes
671,Germany,35,144848.74,1,1,No
664,Germany,26,116244.14,2,1,No
656,France,50,0.0,2,1,No
667,Spain,40,146502.07,1,0,No
663,Germany,44,117028.6,2,1,No
584,Germany,30,112013.81,1,0,Yes
626,Spain,37,108269.37,1,0,No
485,France,29,182123.79,1,0,Yes
659,Germany,32,150923.74,2,1,No
649,France,33,0.0,2,0,No
805,Spain,39,165272.13,1,0,Yes
716,Germany,39,115301.31,1,0,Yes
642,Germany,40,129502.49,2,1,Yes
659,France,31,118342.26,1,0,No
545,Spain,47,0.0,2,1,No
543,France,22,0.0,2,0,No
718,France,25,0.0,2,0,No
840,France,43,0.0,2,0,No
630,Germany,34,106937.05,2,0,No
643,Germany,59,170331.37,1,1,No
654,Germany,32,114510.85,1,1,No
582,France,39,0.0,2,1,No
659,Spain,32,107594.11,2,1,No
762,Spain,39,81273.13,1,1,No
568,Spain,32,169399.6,1,0,No
670,Spain,25,0.0,2,1,No
613,France,45,187841.99,2,1,No
539,France,30,0.0,2,0,No
850,Spain,57,126776.3,2,1,No
522,Spain,34,126436.29,1,0,Yes
737,France,41,101960.74,1,1,No
520,France,58,0.0,2,1,No
706,Spain,28,0.0,2,1,No
643,Germany,45,150842.93,1,1,Yes
648,France,50,102535.57,1,1,No
443,Germany,29,99027.61,2,0,No
640,France,68,0.0,2,1,No
628,Spain,33,0.0,1,1,No
540,Germany,42,87271.41,2,0,No
460,Germany,35,102742.91,2,1,No
636,Germany,34,40105.51,2,1,No
593,France,29,152265.43,1,0,No
801,Spain,42,141947.67,1,1,No
640,Germany,75,106307.91,2,1,No
611,Germany,31,107884.81,2,1,No
802,Germany,31,125013.72,1,1,No
717,Germany,35,58469.37,2,1,No
769,France,39,0.0,1,1,No
745,Germany,45,117231.63,3,1,Yes
572,Spain,35,152390.26,1,0,No
629,Spain,30,34013.63,1,0,No
687,Spain,39,0.0,3,0,Yes
483,France,50,0.0,2,1,No
690,France,36,101583.11,2,0,No
492,Germany,30,77168.87,2,1,No
709,Germany,28,124695.72,2,0,No
705,Germany,44,105934.96,1,0,No
560,France,66,0.0,1,1,No
611,Spain,46,0.0,2,0,No
730,Spain,62,0.0,2,1,No
709,Spain,45,0.0,2,1,No
544,France,21,161525.96,2,0,No
712,Germany,29,147199.07,1,1,No
752,Germany,38,183102.29,1,1,No
648,Spain,46,127209.0,2,0,Yes
556,Spain,38,0.0,2,0,Yes
594,Spain,24,97378.54,1,1,No
645,Germany,37,136925.09,2,1,No
557,France,33,54503.55,1,1,No
547,Germany,32,155726.85,1,0,No
701,France,39,0.0,2,1,No
616,France,66,135842.41,1,0,Yes
605,France,52,63349.75,1,0,No
593,Germany,38,129499.42,1,1,No
751,Spain,52,0.0,2,1,No
443,Spain,36,70438.01,2,1,No
685,France,23,0.0,2,1,No
718,France,36,0.0,1,0,No
538,Spain,49,141434.04,1,0,Yes
611,Spain,37,0.0,2,0,No
668,Germany,37,152958.29,2,1,No
537,Germany,41,138306.34,1,0,No
709,Spain,23,0.0,2,0,No
850,France,38,0.0,2,1,No
745,Spain,31,124328.84,1,1,No
693,Germany,41,181461.48,3,1,Yes
795,Spain,35,0.0,2,0,No
626,Spain,26,0.0,2,0,No
487,Germany,61,110368.03,1,0,Yes
556,France,39,89588.35,1,1,No
643,France,46,0.0,2,0,No
605,France,28,0.0,2,0,No
756,Germany,60,115924.89,1,0,Yes
586,France,38,0.0,2,0,No
535,Germany,40,111756.5,1,0,Yes
678,France,35,0.0,1,0,No
596,France,39,0.0,1,0,No
648,France,26,162923.85,1,0,No
492,Germany,39,124576.65,2,0,No
702,France,45,80793.58,1,1,No
486,Germany,40,71340.09,1,0,No
568,Germany,40,99282.63,1,0,Yes
619,Germany,57,137946.39,1,1,Yes
724,Germany,41,127892.57,2,1,No
548,Germany,33,101084.36,1,0,No
545,Germany,37,114754.08,1,0,Yes
683,France,33,0.0,1,0,No
762,France,51,99286.98,1,1,No
627,Germany,30,79871.02,2,0,No
516,France,35,104088.59,2,0,No
800,France,38,168190.33,2,0,No
464,Germany,42,85679.25,1,1,No
626,France,35,0.0,1,0,No
790,France,31,0.0,2,0,No
534,France,34,121551.58,2,1,No
745,France,46,122220.19,1,1,No
553,Spain,47,116528.15,1,0,Yes
748,France,26,77780.29,1,1,No
722,France,37,0.0,1,0,No
501,France,40,125832.2,1,1,No
675,France,38,68065.8,1,0,Yes
778,Spain,47,127299.34,2,0,No
494,Germany,38,174937.64,1,0,No
850,France,40,0.0,2,1,No
592,Spain,31,110071.1,1,0,No
590,Spain,44,139432.37,1,0,No
758,France,39,127357.76,1,1,No
506,France,36,0.0,2,0,No
733,France,33,0.0,1,1,No
711,France,38,0.0,2,0,No
514,Germany,43,95556.31,1,1,Yes
637,Spain,37,0.0,1,1,No
468,Germany,29,111681.98,2,1,No
539,France,39,0.0,2,0,No
509,Spain,25,108738.71,2,0,No
662,France,32,133950.37,1,1,Yes
818,Spain,26,0.0,2,1,No
608,France,33,89968.69,1,0,No
850,Spain,32,0.0,2,1,No
816,Germany,38,130878.75,3,0,Yes
536,France,35,0.0,2,0,No
753,France,35,0.0,2,1,No
631,Spain,27,134169.62,1,1,No
703,France,37,149762.08,1,0,Yes
774,France,26,93844.69,1,0,No
785,France,28,0.0,2,0,No
571,France,33,0.0,2,0,No
621,Germany,46,141078.37,1,0,Yes
605,Germany,31,117992.59,1,1,No
611,France,40,100812.33,2,0,No
569,France,38,0.0,1,1,No
658,France,29,80262.6,1,1,No
788,Spain,34,156478.62,1,1,No
525,France,23,0.0,2,0,No
798,France,37,0.0,3,0,No
486,Germany,37,115217.99,2,0,No
615,Spain,61,0.0,2,0,Yes
730,France,35,155470.55,1,1,No
641,France,37,0.0,2,0,No
542,France,39,135096.77,1,1,Yes
692,France,30,0.0,2,1,No
714,Germany,55,180075.22,1,1,No
591,Spain,29,97541.24,1,1,No
710,France,41,156067.05,1,1,No
639,France,38,81550.94,2,1,No
531,France,47,0.0,1,0,Yes
673,France,38,170061.92,2,0,Yes
765,Germany,36,92310.54,2,1,No
622,France,32,169089.38,2,0,No
806,France,40,80613.93,1,1,No
757,Germany,26,121581.56,2,1,No
570,France,58,0.0,1,1,Yes
555,Spain,32,0.0,2,1,No
692,France,54,0.0,2,1,No
774,France,60,85891.55,1,0,Yes
638,Spain,44,77637.35,2,1,No
543,Spain,41,0.0,1,0,No
584,France,31,0.0,2,0,No
691,Germany,30,116927.89,1,0,No
684,Germany,40,137326.65,1,0,No
733,France,22,0.0,2,1,No
599,Spain,37,0.0,2,1,No
524,Germany,31,67238.98,2,1,No
632,Germany,38,86569.76,2,0,No
735,Spain,34,0.0,2,0,No
734,France,34,133598.4,1,1,No
605,France,51,136188.78,1,1,Yes
793,Spain,38,0.0,2,0,No
468,France,56,0.0,3,1,Yes
779,Germany,37,120092.52,2,0,No
698,France,48,101238.24,2,1,Yes
707,France,58,89685.92,1,1,No
850,France,35,211774.31,1,0,Yes
850,France,56,131317.48,1,1,No
527,Spain,37,93722.73,2,1,No
696,Germany,32,101160.99,1,1,No
661,France,48,120320.54,1,0,No
776,France,31,0.0,2,1,No
701,France,43,0.0,2,1,No
610,France,26,0.0,2,0,No
572,Germany,48,152827.99,1,0,Yes
673,France,30,64097.75,1,1,No
519,Spain,57,119035.35,2,1,No
702,Spain,26,135219.57,1,1,No
729,France,32,93694.42,1,1,No
543,Spain,35,59408.63,1,0,No
550,France,40,114354.95,1,0,No
608,France,59,0.0,1,0,Yes
639,Germany,35,128173.9,2,0,No
686,Spain,34,0.0,2,0,No
564,Germany,62,114931.35,3,1,Yes
745,Germany,28,111071.36,1,0,Yes
833,France,37,151226.18,2,1,No
622,France,26,0.0,2,1,No
597,France,42,64740.12,1,1,No
721,Spain,51,169312.13,1,0,Yes
504,France,49,0.0,3,1,Yes
842,Spain,44,112652.08,2,0,No
587,France,38,0.0,2,0,No
479,Germany,30,143964.36,2,0,No
508,France,49,122451.46,2,1,No
749,France,24,0.0,3,1,No
721,Germany,36,65253.07,2,0,No
674,Germany,47,106901.94,1,1,Yes
685,Spain,25,128509.63,1,0,No
417,France,34,0.0,2,0,No
574,Germany,33,129834.67,1,0,No
590,Spain,51,154962.99,3,1,Yes
587,Germany,40,138241.9,2,0,No
598,Germany,41,91536.93,1,0,Yes
741,Spain,53,0.0,2,1,No
850,Spain,70,0.0,1,1,No
584,Germany,29,105204.01,1,1,No
650,Spain,61,152968.73,1,1,No
607,Spain,36,158261.68,1,1,No
509,France,46,0.0,1,0,Yes
689,Spain,38,121021.05,1,1,No
543,France,36,0.0,2,1,No
438,Spain,54,0.0,1,0,Yes
687,Spain,63,137715.66,1,1,No
737,Germany,31,121192.22,2,1,No
761,France,31,0.0,3,1,No
601,France,44,100486.18,2,1,No
651,France,45,0.0,1,0,Yes
745,France,35,92566.53,2,0,No
648,Spain,49,0.0,2,1,Yes
848,Spain,40,110929.96,1,1,No
546,France,27,0.0,2,1,No
439,Spain,32,138901.61,1,0,No
755,France,30,123217.66,2,1,No
593,France,41,0.0,1,0,No
701,France,39,0.0,2,1,No
701,Spain,36,0.0,2,0,No
607,Spain,33,108431.87,2,1,Yes
586,Spain,57,0.0,2,1,No
547,Germany,30,72392.41,1,0,No
647,Germany,51,119741.77,2,0,Yes
760,France,51,100946.71,1,0,Yes
621,Spain,53,170491.84,1,0,Yes
725,France,44,0.0,1,1,No
526,France,36,0.0,1,0,No
519,Spain,47,157296.02,2,0,Yes
713,Germany,38,144606.22,1,1,Yes
700,France,38,134811.3,1,0,No
666,France,34,115897.12,1,1,No
630,Spain,32,82034.0,1,0,No
779,Spain,26,174318.13,2,1,No
611,Germany,41,114206.84,1,0,No
685,Spain,43,0.0,2,0,No
646,Germany,39,111574.41,1,1,No
683,Germany,57,162448.69,1,0,Yes
484,Germany,34,148249.54,1,1,No
601,France,43,0.0,3,1,Yes
762,Spain,26,123709.46,2,1,No
687,France,72,0.0,1,1,No
566,France,30,0.0,1,0,Yes
702,France,37,150525.8,1,1,No
601,France,29,0.0,1,1,No
699,France,53,0.0,2,1,No
584,France,28,0.0,2,0,No
699,France,35,0.0,2,1,No
698,Germany,51,111018.98,1,0,No
495,France,30,129755.99,1,0,No
650,France,27,0.0,2,0,No
605,France,64,129555.7,1,1,No
667,Spain,38,87202.38,1,1,No
688,Germany,26,146133.39,1,1,No
727,Spain,31,0.0,1,0,Yes
754,Spain,39,170184.99,2,0,No
612,Germany,62,140745.33,1,0,Yes
546,Spain,42,139070.51,1,1,No
673,Spain,37,0.0,2,1,No
593,France,35,114193.24,1,0,No
656,Spain,40,167878.5,1,1,No
535,Germany,53,141616.55,2,1,No
678,Germany,36,145747.67,2,1,No
477,Spain,48,129120.64,1,1,No
850,Spain,35,110349.82,1,0,No
427,France,29,141325.56,1,1,No
752,France,49,78653.84,1,0,No
649,France,47,0.0,2,1,No
799,Spain,28,142253.65,1,0,No
589,France,61,0.0,1,0,Yes
583,Germany,54,115988.86,1,0,Yes
839,Spain,33,75592.43,1,0,No
540,Germany,44,164113.04,2,1,No
850,France,31,67996.23,2,0,Yes
696,Spain,51,0.0,2,0,No
660,Spain,33,0.0,2,0,No
682,France,48,138778.15,1,1,No
744,France,43,147832.15,1,1,No
785,France,36,135438.4,1,0,No
752,Spain,48,116060.08,1,0,Yes
706,France,29,112564.62,1,0,No
583,France,27,125406.58,1,1,No
660,Germany,39,135134.99,1,0,Yes
819,France,39,133102.92,1,0,Yes
673,France,34,42157.08,1,0,Yes
752,France,30,0.0,2,1,No
578,France,38,82259.29,1,0,No
438,France,36,0.0,2,0,No
652,France,38,0.0,2,1,No
629,France,49,0.0,2,1,No
720,France,52,0.0,1,1,No
668,France,42,150461.07,1,0,No
459,Germany,48,133994.52,1,1,Yes
729,Spain,31,164870.81,2,1,No
498,Germany,25,121702.73,1,1,No
549,Spain,25,193858.2,1,1,No
601,Germany,54,131039.97,2,1,No
544,France,64,113829.45,1,1,No
751,France,30,0.0,2,0,No
632,Germany,41,81877.38,1,1,No
694,Spain,57,116326.07,1,1,No
678,France,31,0.0,2,1,No
695,France,46,0.0,2,1,No
661,France,41,0.0,2,1,No
661,France,33,0.0,2,1,No
559,France,31,127070.73,1,1,No
503,France,29,0.0,2,1,No
695,Spain,46,122549.64,1,1,No
640,France,42,176099.13,1,1,No
624,Germany,48,122388.38,2,0,No
667,France,42,0.0,2,1,No
642,France,26,0.0,1,0,No
640,Spain,32,118879.35,2,1,No
529,Spain,35,0.0,2,1,No
563,France,39,0.0,2,1,No
593,Spain,38,88736.44,2,0,No
739,Germany,45,102703.62,1,1,Yes
788,Spain,70,0.0,2,1,No
684,Spain,38,0.0,2,0,No
482,France,55,97318.25,1,1,No
591,Spain,58,128468.69,1,1,No
651,Germany,41,133432.59,1,1,No
749,Germany,40,141782.57,2,0,No
583,France,24,135125.28,1,0,No
661,Spain,42,178820.91,1,0,Yes
715,France,31,112212.14,2,1,No
769,Germany,45,126674.81,1,0,Yes
625,France,51,136294.97,1,0,Yes
641,France,36,66392.64,1,0,No
716,Germany,27,122552.34,2,0,No
767,France,43,76408.85,2,0,No
745,Germany,36,145071.24,1,0,No
589,France,34,0.0,2,1,No
796,France,45,109730.22,1,1,No
664,France,57,0.0,2,1,No
445,Spain,62,64119.38,1,1,Yes
543,Germany,57,106138.33,2,1,Yes
746,Spain,36,0.0,2,1,No
742,Germany,33,181656.51,1,1,No
750,France,32,0.0,2,0,No
669,France,30,95128.86,1,0,No
594,Spain,49,126615.94,2,1,No
574,Spain,36,0.0,2,1,No
659,Germany,36,76190.48,2,1,No
750,Germany,40,168286.81,3,0,Yes
626,Germany,35,88109.81,1,1,No
620,France,42,0.0,2,0,No
580,France,35,0.0,2,1,No
686,France,34,123971.51,2,0,No
540,France,48,148116.48,1,0,No
634,Germany,35,116269.01,1,0,No
632,Spain,38,120599.21,1,0,No
501,France,41,144260.5,1,0,No
650,Spain,25,86605.5,3,0,Yes
786,France,34,0.0,2,0,No
554,Germany,37,58629.97,1,0,No
701,Spain,42,0.0,2,0,No
474,France,45,0.0,2,0,No
621,France,43,0.0,1,1,No
672,Spain,56,209767.31,2,1,Yes
459,Spain,42,129634.25,2,1,Yes
669,France,23,0.0,2,0,No
776,France,38,169824.46,1,0,No
694,France,36,97530.25,1,1,No
787,France,42,145988.65,2,1,No
580,France,37,0.0,2,1,No
711,France,25,0.0,3,1,No
673,France,40,137494.28,1,0,No
499,France,57,0.0,1,0,Yes
591,France,24,147360.0,1,1,No
769,France,25,0.0,2,0,No
657,Spain,31,125167.02,1,0,No
738,Germany,43,121152.05,2,0,Yes
545,Germany,60,128981.07,1,1,Yes
497,France,47,0.0,1,1,No
816,Spain,67,151858.98,1,1,No
525,France,36,114628.4,1,1,No
725,France,46,0.0,2,0,No
692,France,28,95059.02,2,0,No
618,France,24,128736.39,1,1,No
546,France,24,156325.38,1,1,No
635,France,29,105405.97,1,1,No
611,France,49,88915.37,3,0,Yes
650,France,60,0.0,2,1,No
606,France,40,0.0,2,1,No
844,France,18,160980.03,1,0,No
450,Spain,46,177619.71,1,0,No
727,Spain,38,62276.99,1,1,No
460,Germany,46,127559.97,2,1,No
649,France,41,0.0,2,1,No
758,Germany,47,95523.16,1,0,No
490,France,35,107749.03,1,1,No
815,Germany,37,110777.26,2,0,No
838,Spain,39,166733.92,2,0,No
803,France,31,157120.86,2,0,No
664,Germany,36,127160.78,2,0,No
736,Spain,28,0.0,2,1,No
633,France,37,156091.97,1,0,No
664,France,58,98668.18,1,1,No
600,France,43,134022.06,1,0,No
693,France,35,124151.09,1,0,Yes
663,Germany,36,77253.5,1,0,Yes
742,Germany,21,114292.48,1,0,No
710,Germany,43,140080.32,3,1,Yes
710,Spain,27,135277.96,1,0,No
700,France,82,0.0,2,1,No
720,Germany,60,115920.62,2,0,Yes
684,Spain,41,119782.72,2,0,No
