Evaporation,Sunshine,WindGustSpeed,Humidity3pm,Pressure,Cloud3pm,Temp3pm,RainToday,RainTomorrow
5.2,0.0,17.0,81.0,1008.45,7.0,27.1,Yes,No
3.4,7.8,37.0,75.0,1004.45,5.0,30.8,Yes,No
1.2,9.6,30.0,52.0,1020.1,2.0,14.7,No,No
,,19.0,44.0,1023.4000000000001,,18.8,No,No
8.0,11.3,37.0,40.0,1010.35,1.0,33.8,No,No
6.0,11.6,46.0,48.0,1021.0,2.0,21.0,No,No
4.0,10.2,44.0,31.0,1025.5500000000002,2.0,15.9,No,No
5.0,8.1,48.0,43.0,1016.2,1.0,24.0,No,No
,,52.0,53.0,1009.05,8.0,22.9,No,No
10.8,11.9,48.0,17.0,1013.1500000000001,0.0,29.1,No,No
,,74.0,55.0,1011.25,,27.7,No,No
6.8,13.1,33.0,29.0,1018.5,4.0,30.3,No,No
,,,44.0,,5.0,30.5,Yes,No
1.6,0.0,24.0,78.0,1008.45,8.0,20.0,Yes,No
3.9,,43.0,47.0,1008.55,6.0,14.0,No,No
7.6,,63.0,31.0,1013.6,,27.8,No,No
4.6,9.5,20.0,53.0,1020.3,1.0,28.4,No,No
1.8,6.2,19.0,49.0,1028.25,,12.6,No,No
5.8,6.5,22.0,47.0,1012.9000000000001,3.0,28.9,No,No
1.4,0.1,35.0,82.0,1024.05,7.0,11.8,Yes,No
,,20.0,64.0,1026.35,,15.5,No,No
10.2,,,37.0,,,25.6,No,No
,,37.0,27.0,1009.0,,29.4,No,No
7.6,,37.0,55.0,1011.0,,29.7,No,No
,,35.0,53.0,1014.35,,23.1,No,No
6.6,7.9,41.0,59.0,1023.0999999999999,7.0,17.6,No,No
10.6,11.7,41.0,56.0,1009.65,1.0,29.5,No,No
,,41.0,27.0,1010.5,,27.9,No,No
,,50.0,84.0,1006.95,,20.0,Yes,No
4.8,10.9,31.0,54.0,1012.65,2.0,29.0,No,No
3.8,5.8,33.0,38.0,1018.5,7.0,21.3,No,No
,,,58.0,,7.0,20.2,Yes,No
,,50.0,39.0,1021.1500000000001,,23.1,No,No
1.6,5.3,31.0,57.0,1031.6,7.0,12.4,Yes,No
,,50.0,37.0,,,30.7,No,No
5.0,6.1,41.0,52.0,1016.05,5.0,28.8,No,No
,,33.0,44.0,1013.5,,15.8,No,No
,,41.0,59.0,1016.6,,25.4,No,No
7.0,10.3,48.0,30.0,1011.55,1.0,32.4,No,No
8.2,11.0,33.0,15.0,1012.9,2.0,30.4,No,No
,,31.0,29.0,1015.65,,34.9,No,No
4.8,4.5,30.0,48.0,1013.6500000000001,,28.2,No,No
,,37.0,38.0,,,23.3,No,No
8.0,10.4,35.0,41.0,1016.5999999999999,5.0,20.2,No,No
,,39.0,19.0,,,28.2,No,No
7.2,10.6,33.0,54.0,1014.0,3.0,27.9,No,No
0.2,2.3,15.0,63.0,1025.4,6.0,15.3,No,No
6.2,10.3,41.0,48.0,1021.4000000000001,3.0,22.1,No,No
2.2,8.5,31.0,58.0,1022.95,7.0,16.0,No,No
,,41.0,32.0,1016.4000000000001,,22.2,No,No
2.8,,17.0,42.0,1024.35,6.0,13.7,No,No
2.0,12.2,,66.0,1024.6,3.0,18.0,No,No
,12.2,37.0,27.0,1011.85,,32.2,No,No
,,33.0,14.0,,,29.7,No,No
7.2,10.8,43.0,25.0,1013.5,5.0,18.3,No,No
4.0,9.4,24.0,21.0,1024.2,3.0,20.2,No,No
1.6,8.9,35.0,63.0,1022.85,1.0,11.8,Yes,No
8.0,,33.0,64.0,1011.85,4.0,30.4,No,No
3.2,9.7,46.0,36.0,1008.55,1.0,28.8,No,No
,,44.0,23.0,1017.5,,29.6,No,No
,,46.0,15.0,1012.2,,37.5,No,No
7.4,13.7,37.0,8.0,1013.55,1.0,33.3,No,No
3.2,7.6,35.0,35.0,1021.45,4.0,20.5,No,No
8.4,12.9,41.0,17.0,1012.65,1.0,23.2,No,No
,,19.0,18.0,1019.3499999999999,,27.2,No,No
,,30.0,64.0,1013.0,,19.7,No,No
2.4,7.4,24.0,55.0,1020.75,6.0,14.0,No,No
8.2,11.8,,75.0,1016.7,4.0,20.2,No,No
,9.0,44.0,36.0,1011.5,,21.4,No,No
0.2,1.1,,68.0,1017.7,7.0,17.8,Yes,No
,,43.0,60.0,1016.7,8.0,17.5,Yes,No
1.8,9.1,30.0,53.0,1018.9,3.0,20.5,No,No
1.2,9.1,19.0,45.0,1016.7,6.0,25.1,No,No
,,48.0,36.0,,,25.5,No,No
,,35.0,14.0,1008.35,,33.9,No,No
7.6,,72.0,38.0,999.15,,20.1,No,No
7.6,10.0,72.0,23.0,1007.2,7.0,22.4,No,No
,,41.0,44.0,1020.1,,16.4,No,No
,,31.0,32.0,1023.6500000000001,,15.7,No,No
,,31.0,51.0,1021.65,4.0,19.7,No,No
11.0,3.1,48.0,76.0,1015.35,7.0,27.9,Yes,No
5.4,7.8,28.0,71.0,1006.4,7.0,29.1,No,No
9.0,11.4,39.0,41.0,1011.2,5.0,25.1,No,No
,6.7,35.0,43.0,1013.75,6.0,29.1,No,No
1.8,8.8,30.0,48.0,1027.25,5.0,14.2,No,No
1.6,6.1,26.0,56.0,1029.5500000000002,7.0,14.7,No,No
7.8,10.0,57.0,55.0,1011.7,3.0,24.6,No,No
,,44.0,37.0,1022.0,,22.5,No,No
,,50.0,32.0,1011.75,,21.7,No,No
12.0,5.5,46.0,52.0,1005.75,3.0,26.1,No,No
,13.0,37.0,48.0,1020.55,,21.5,No,No
5.8,10.0,48.0,26.0,1003.8499999999999,5.0,31.0,Yes,No
,,31.0,47.0,1030.4,,21.1,No,No
10.8,,57.0,22.0,1009.3,0.0,26.0,No,No
,12.5,52.0,60.0,1014.1500000000001,,23.5,No,No
,,30.0,36.0,,,20.9,No,No
,,,49.0,,3.0,20.5,No,No
,,35.0,58.0,1019.2,,19.2,No,No
6.4,10.9,52.0,28.0,1019.95,3.0,31.7,No,No
7.8,4.7,46.0,59.0,1010.85,,24.0,No,No
,,39.0,75.0,1015.05,,16.0,Yes,No
3.0,9.7,48.0,43.0,1021.2,3.0,10.9,No,No
,,31.0,80.0,,,16.4,No,No
1.6,9.6,28.0,50.0,1026.45,2.0,19.2,No,No
1.0,0.0,26.0,86.0,1021.0,,8.9,Yes,No
8.0,13.1,43.0,52.0,1013.7,3.0,22.7,No,No
7.4,6.4,28.0,84.0,1010.8499999999999,8.0,18.1,No,No
5.2,,26.0,23.0,1019.9000000000001,1.0,29.2,No,No
,,39.0,11.0,,,39.9,No,No
1.2,3.8,39.0,61.0,1012.6,,20.5,Yes,No
,,39.0,26.0,1001.4000000000001,1.0,37.9,No,No
,,44.0,44.0,1017.4,,18.5,No,No
,,44.0,52.0,1022.85,,21.3,No,No
,,43.0,49.0,1010.4,,14.7,No,No
1.0,8.8,50.0,58.0,1017.8499999999999,6.0,13.6,No,No
3.4,6.9,33.0,56.0,1013.8499999999999,6.0,20.2,No,No
,,28.0,57.0,1008.85,,27.1,No,No
3.0,7.9,30.0,43.0,1026.25,3.0,14.3,No,No
4.4,9.1,43.0,31.0,1008.95,7.0,28.2,No,No
8.0,11.4,48.0,59.0,1019.4,7.0,20.0,No,No
8.6,11.7,52.0,38.0,1017.8499999999999,0.0,26.0,No,No
,,33.0,31.0,1015.5,,30.1,No,No
,,43.0,62.0,1013.8499999999999,,11.4,Yes,No
8.0,12.0,43.0,22.0,1014.85,4.0,35.9,No,No
,,33.0,48.0,,,18.9,No,No
,,46.0,26.0,1014.0999999999999,8.0,27.8,No,No
7.6,9.4,41.0,41.0,1012.3,,17.3,No,No
1.6,7.7,109.0,42.0,1011.55,2.0,13.6,No,No
4.2,6.2,65.0,77.0,1001.5999999999999,7.0,8.2,Yes,No
1.6,10.3,31.0,38.0,1017.5,,17.9,No,No
,,50.0,30.0,1019.25,,22.1,No,No
2.6,0.1,37.0,59.0,1016.7,8.0,18.5,Yes,No
1.4,9.8,,67.0,1024.55,2.0,17.5,No,No
12.0,,26.0,64.0,1015.3,,20.0,No,No
8.0,1.2,57.0,63.0,1023.9,7.0,25.8,No,No
,,26.0,61.0,1017.85,,13.5,Yes,No
,,43.0,51.0,1015.95,1.0,27.8,No,No
,,28.0,65.0,1027.4499999999998,1.0,14.7,Yes,No
,,37.0,68.0,1009.6,8.0,13.1,Yes,No
11.2,10.9,70.0,14.0,1013.1,0.0,22.2,No,No
,,35.0,44.0,1017.15,,20.5,No,No
1.2,4.4,19.0,67.0,1032.75,8.0,12.7,No,No
3.0,6.0,37.0,50.0,1026.65,5.0,18.1,No,No
,,54.0,65.0,1016.65,,25.8,No,No
0.4,9.5,13.0,54.0,1024.65,1.0,14.1,No,No
1.4,10.6,24.0,39.0,1021.1500000000001,0.0,11.8,No,No
4.0,10.2,44.0,71.0,1013.4,5.0,18.2,No,No
,,44.0,25.0,,,22.0,Yes,No
1.0,6.9,22.0,56.0,1017.3,6.0,15.3,Yes,No
,,41.0,,1018.95,,17.3,Yes,No
5.0,2.1,52.0,39.0,1016.3,,20.9,No,No
9.0,,46.0,,1013.7,,,No,No
6.2,8.0,43.0,29.0,1022.5999999999999,3.0,24.5,No,No
,,33.0,51.0,1022.35,,24.2,No,No
4.4,8.4,31.0,60.0,1011.65,7.0,13.8,Yes,No
,,20.0,78.0,1016.8,,19.6,Yes,No
0.8,1.7,30.0,77.0,1023.9499999999999,7.0,14.8,Yes,No
6.8,8.6,44.0,57.0,1014.3499999999999,,20.2,No,No
,,33.0,69.0,1013.7,,12.2,Yes,No
8.0,10.3,39.0,51.0,1011.8499999999999,1.0,29.8,No,No
4.4,10.6,28.0,35.0,1014.0,1.0,22.1,No,No
11.8,0.9,41.0,19.0,1010.95,7.0,33.1,No,No
5.6,8.7,52.0,30.0,1009.95,5.0,22.1,No,No
2.2,5.3,20.0,80.0,1021.2,4.0,15.0,No,No
2.0,8.2,26.0,38.0,1010.8,5.0,17.8,No,No
2.6,9.2,26.0,38.0,1024.9,3.0,20.3,No,No
1.2,3.6,44.0,74.0,1019.25,,12.2,Yes,No
15.2,,65.0,24.0,1018.8499999999999,8.0,18.8,No,No
1.8,8.8,24.0,49.0,1019.9,4.0,23.5,Yes,No
,,41.0,25.0,,,25.7,No,No
6.8,13.0,46.0,49.0,1018.4000000000001,0.0,20.2,No,No
3.8,8.7,,65.0,1029.35,1.0,16.6,No,No
7.0,12.4,65.0,29.0,1016.45,,23.5,No,No
,,31.0,52.0,1024.85,,17.3,Yes,No
7.8,11.6,41.0,27.0,1024.0,,21.5,No,No
3.0,6.1,43.0,86.0,1008.55,7.0,15.0,No,No
10.4,11.2,59.0,8.0,1009.55,4.0,36.7,No,No
11.6,13.2,57.0,12.0,1011.9,0.0,37.0,No,No
,,30.0,60.0,1010.45,,14.3,Yes,No
,,56.0,68.0,1015.05,1.0,19.1,No,No
,,33.0,34.0,1018.2,,23.4,No,No
,,35.0,36.0,1016.8,3.0,31.5,Yes,No
3.8,7.6,46.0,33.0,1026.6,6.0,20.4,No,No
3.8,,46.0,34.0,1021.65,2.0,16.7,No,No
,,39.0,53.0,1019.8499999999999,,24.5,No,No
12.0,11.3,37.0,43.0,1015.3,5.0,24.0,No,No
,,35.0,29.0,1012.55,,23.9,No,No
2.8,9.8,52.0,59.0,1016.7,1.0,19.1,No,No
,,33.0,53.0,1012.6500000000001,,29.6,No,No
7.8,8.6,37.0,34.0,1010.2,4.0,29.3,No,No
7.4,9.0,31.0,52.0,1020.8,2.0,20.2,No,No
,,44.0,22.0,,,26.2,No,No
,,41.0,55.0,1027.2,8.0,11.2,Yes,No
7.0,10.3,48.0,42.0,1012.2,4.0,32.0,No,No
,,56.0,56.0,1023.5999999999999,,19.1,No,No
5.0,8.1,54.0,66.0,1015.2,7.0,27.2,No,No
,,,53.0,,3.0,16.7,No,No
3.6,10.1,31.0,16.0,1021.6500000000001,0.0,21.9,No,No
9.6,11.0,41.0,52.0,1016.4,2.0,27.5,No,No
,,39.0,52.0,1013.2,,23.9,No,No
,,,65.0,,1.0,21.0,No,No
,,26.0,55.0,1029.6999999999998,,20.6,No,No
,,,44.0,,,17.0,No,No
,,28.0,70.0,,,21.9,Yes,No
,,35.0,34.0,1018.1,,24.0,No,No
7.0,10.6,52.0,29.0,1013.55,1.0,29.1,No,No
1.6,3.5,43.0,53.0,1020.5,,15.0,No,No
,10.4,46.0,37.0,1021.25,1.0,20.1,No,No
3.8,11.7,35.0,47.0,1020.0,1.0,19.4,No,No
,,,56.0,,5.0,18.8,No,No
,,24.0,54.0,1015.6,,17.5,No,No
,,48.0,36.0,1018.7,,20.9,No,No
4.4,9.5,35.0,42.0,1009.55,5.0,19.5,Yes,No
,,20.0,37.0,1020.1500000000001,,24.2,No,No
12.0,8.6,44.0,6.0,1014.4000000000001,,30.7,No,No
4.2,7.3,37.0,56.0,1018.1500000000001,5.0,26.4,No,No
1.2,8.9,28.0,43.0,1036.15,2.0,16.8,No,No
,,22.0,42.0,1029.45,,22.5,No,No
2.4,9.5,31.0,51.0,1017.0999999999999,1.0,19.4,No,No
3.8,6.8,30.0,44.0,1017.7,7.0,19.2,No,No
5.0,,39.0,,1011.65,,,No,No
,,26.0,28.0,1016.4,,30.4,No,No
1.4,1.1,15.0,69.0,1012.5,7.0,13.3,No,No
,,39.0,53.0,1023.0,,15.1,Yes,No
1.2,2.1,22.0,60.0,1022.5,6.0,14.2,Yes,No
3.4,9.2,39.0,31.0,1025.55,3.0,20.5,No,No
,,26.0,55.0,1023.85,,15.1,Yes,No
,,19.0,41.0,1029.5,,17.9,No,No
8.4,10.7,30.0,54.0,1014.8499999999999,1.0,30.0,Yes,No
7.2,10.7,31.0,29.0,1013.15,0.0,28.6,No,No
,10.9,59.0,12.0,1004.9,,37.7,No,No
,,33.0,60.0,1033.15,,14.2,No,No
,,30.0,59.0,1012.9,,28.4,No,No
9.2,8.4,35.0,49.0,1010.5,2.0,27.2,No,No
5.4,4.7,30.0,80.0,1020.95,,17.8,Yes,No
12.0,12.8,46.0,5.0,1013.35,1.0,39.3,No,No
,,30.0,47.0,1018.35,,30.1,No,No
2.0,8.4,31.0,52.0,1024.35,5.0,10.5,No,No
,,,,,,,No,No
5.2,11.9,35.0,59.0,1024.65,2.0,25.0,No,No
,,31.0,29.0,1015.7,,23.0,No,No
0.0,,20.0,76.0,1018.6,4.0,13.4,No,No
7.0,11.3,33.0,54.0,1016.25,4.0,22.6,No,No
0.6,6.8,24.0,76.0,1019.75,6.0,22.0,No,No
2.4,6.7,24.0,70.0,1013.5,,17.9,Yes,No
4.4,2.5,28.0,73.0,1011.85,,30.1,No,No
8.0,5.9,33.0,19.0,1018.25,,24.9,No,No
5.6,10.8,31.0,48.0,1008.7,4.0,33.7,No,No
2.6,11.6,35.0,57.0,1018.0,2.0,22.4,Yes,No
2.6,6.1,35.0,74.0,1023.9000000000001,,11.4,No,No
,,39.0,45.0,1021.0,,22.9,No,No
,,,,1006.65,,25.0,Yes,No
,,50.0,74.0,1017.25,,20.3,No,No
2.8,9.9,46.0,45.0,1016.2,1.0,19.3,Yes,No
10.8,7.5,72.0,30.0,1002.6,7.0,33.5,No,No
,,65.0,57.0,1020.0,7.0,13.5,No,No
,,41.0,26.0,1013.55,,20.0,No,No
3.8,12.9,43.0,41.0,1020.15,7.0,21.2,No,No
,,11.0,67.0,1029.9,6.0,14.8,No,No
,,17.0,58.0,1024.25,5.0,19.3,No,No
4.6,,35.0,60.0,1020.95,,25.3,No,No
10.0,10.5,39.0,4.0,1013.95,7.0,38.0,No,No
1.0,5.0,,81.0,1029.7,6.0,14.7,No,No
4.8,4.0,35.0,69.0,1010.25,7.0,30.0,Yes,No
11.6,12.7,48.0,22.0,1018.45,1.0,28.2,No,No
7.2,12.7,41.0,30.0,1016.9,,30.9,No,No
7.6,7.4,48.0,49.0,1005.5999999999999,4.0,20.2,Yes,No
4.6,11.3,37.0,15.0,1020.7,0.0,25.6,No,No
20.0,10.8,63.0,8.0,1012.0,5.0,42.7,No,No
,,63.0,,1010.5,8.0,16.0,No,No
1.4,6.5,19.0,54.0,1025.95,5.0,13.0,No,No
4.2,,31.0,28.0,1019.6,4.0,22.5,No,No
,,,58.0,,6.0,19.6,No,No
5.0,10.8,41.0,44.0,1010.8499999999999,4.0,33.2,No,No
14.0,11.4,61.0,22.0,1007.45,0.0,29.9,No,No
,,44.0,30.0,1022.15,,31.0,No,No
21.4,,48.0,50.0,1015.0,,21.8,No,No
5.8,12.5,30.0,15.0,1022.8499999999999,3.0,25.2,No,No
6.6,9.2,46.0,61.0,1010.15,7.0,30.3,No,No
8.0,8.9,54.0,66.0,1017.25,6.0,23.0,Yes,No
,9.0,24.0,44.0,1025.35,1.0,18.0,No,No
11.6,,50.0,2.0,1003.6500000000001,5.0,42.6,No,No
,,35.0,36.0,1020.5,,18.2,No,No
,,39.0,55.0,1017.0,,23.4,No,No
1.0,8.9,28.0,66.0,1022.8499999999999,3.0,17.4,Yes,No
4.8,,35.0,70.0,1007.2,,33.0,No,No
,12.5,48.0,17.0,1014.7,,30.4,No,No
1.4,4.0,24.0,80.0,1023.3,,11.9,Yes,No
,,28.0,47.0,,,17.8,No,No
1.0,,30.0,55.0,1017.1,6.0,15.7,No,No
,,26.0,43.0,,,7.7,No,No
4.2,9.4,39.0,44.0,1023.4000000000001,,16.5,No,No
,,43.0,39.0,1014.3499999999999,,25.2,No,No
8.0,8.7,46.0,39.0,1012.5,6.0,33.6,No,No
,,87.0,39.0,997.75,3.0,26.7,No,No
13.0,10.0,61.0,16.0,1018.2,,24.4,No,No
5.8,13.5,30.0,44.0,1016.5999999999999,,25.5,No,No
7.2,9.9,48.0,53.0,1019.55,3.0,23.9,No,No
,,46.0,33.0,,,28.7,No,No
,,37.0,24.0,,,24.4,No,No
,,43.0,27.0,1028.7,,23.9,No,No
3.2,10.8,30.0,39.0,1020.55,1.0,16.3,No,No
9.0,,35.0,67.0,1016.75,,27.3,No,No
6.2,4.8,37.0,48.0,1022.5,7.0,16.3,Yes,No
,,41.0,52.0,1020.55,,18.0,No,No
,,69.0,9.0,1010.45,,34.6,No,No
3.8,9.0,37.0,47.0,1020.75,,18.5,No,No
4.8,10.6,30.0,33.0,1015.9,4.0,22.8,No,No
15.6,8.5,43.0,31.0,1021.1,2.0,22.7,No,No
1.4,9.4,28.0,40.0,1016.9,1.0,19.0,No,No
4.0,5.7,28.0,55.0,1025.15,3.0,21.1,Yes,No
3.2,5.0,81.0,42.0,1018.5,7.0,20.7,No,No
2.6,4.7,24.0,63.0,1014.75,3.0,15.5,No,No
,,24.0,73.0,1018.05,8.0,13.0,No,No
4.2,3.3,35.0,35.0,1024.85,,19.7,No,No
,,44.0,65.0,1021.05,,23.5,No,No
6.0,,44.0,31.0,1015.4,2.0,25.6,Yes,No
3.6,6.2,35.0,61.0,1025.25,8.0,15.0,No,No
,,17.0,47.0,,,17.6,No,No
4.4,7.4,35.0,57.0,1024.3,6.0,17.0,No,No
9.2,13.3,26.0,31.0,1014.0,1.0,34.8,No,No
5.0,10.7,33.0,37.0,1020.8,1.0,20.3,No,No
2.0,4.9,20.0,39.0,1026.5,,16.8,No,No
9.0,8.2,33.0,51.0,1015.8499999999999,6.0,25.2,No,No
4.8,4.3,56.0,50.0,1025.2,7.0,14.1,No,No
8.8,11.3,44.0,22.0,1005.6500000000001,1.0,29.6,No,No
3.6,3.7,,61.0,1016.75,6.0,16.8,No,No
10.0,13.4,35.0,20.0,1018.25,4.0,30.5,No,No
9.4,10.7,48.0,56.0,1005.85,2.0,26.6,No,No
23.0,11.8,33.0,51.0,1017.7,5.0,26.4,No,No
5.2,4.0,,59.0,1017.4,6.0,19.0,No,No
2.6,9.3,30.0,51.0,1020.95,1.0,17.3,No,No
,,24.0,13.0,1013.75,,40.1,No,No
2.4,8.6,31.0,49.0,1025.65,7.0,17.3,No,No
0.6,0.7,17.0,56.0,1021.95,7.0,17.0,No,No
1.6,0.9,35.0,69.0,1024.65,5.0,12.5,No,No
4.8,,44.0,57.0,1008.85,1.0,31.6,Yes,No
,,19.0,63.0,1027.4,,12.9,No,No
8.0,12.6,41.0,31.0,1018.15,5.0,28.0,No,No
6.4,1.6,39.0,52.0,1018.35,8.0,23.9,No,No
7.0,8.9,54.0,28.0,1014.5,6.0,32.1,No,No
7.0,10.2,72.0,52.0,1025.3,3.0,17.1,No,No
,,43.0,76.0,1017.45,,15.9,No,No
,,20.0,57.0,1028.6,,15.8,No,No
0.8,8.1,43.0,49.0,1015.55,6.0,18.0,Yes,No
10.4,9.6,35.0,56.0,1014.9000000000001,7.0,26.9,No,No
,,31.0,23.0,1018.55,1.0,34.8,No,No
,,56.0,26.0,1006.2,,26.9,No,No
5.6,3.3,46.0,51.0,1020.1,7.0,17.5,No,No
8.4,13.2,30.0,18.0,1017.4000000000001,0.0,35.7,No,No
1.8,,33.0,69.0,1022.3499999999999,3.0,21.4,Yes,No
,,50.0,26.0,1015.3499999999999,,28.8,No,No
8.0,3.0,37.0,61.0,1019.0999999999999,7.0,19.7,No,No
,,20.0,82.0,1025.65,5.0,12.3,No,No
,8.8,24.0,39.0,1022.1,,18.8,No,No
,,61.0,31.0,,,32.8,No,No
,,33.0,56.0,1015.3499999999999,,18.7,No,No
1.9,5.8,31.0,49.0,1025.65,5.0,11.8,No,No
